family,n_family,base_mae_uncalibrated,improvement_mean,improvement_median,improvement_std,ci95_low,ci95_high,fraction_improved
DAZ,6,0.24636006026764723,0.19691660428844718,0.20375888355764726,0.018569226720973726,0.1627828845576471,0.21317655317764717,1.0
ATXN2,2,0.09481132740159581,0.07493132740159579,0.0848113274015958,0.010004283366922682,0.06481132740159579,0.0848113274015958,1.0
C9ORF72,5,0.10805765384534169,-0.0025909048085247716,0.045048044871118076,0.056698616891417954,-0.07990391025776389,0.045048044871118076,0.581
FAM,2,0.10579767017562519,-0.004705066217974819,0.049533547775625186,0.05625578635692884,-0.06299469702437482,0.049533547775625186,0.518
STMN2,5,0.2298216290006211,-0.01053566383521587,0.0081846908338509,0.06641505192846871,-0.0918153091661491,0.058184690833850944,0.595
AR,3,0.2168799432988827,-0.01752286038668993,0.0,0.023631317619322457,-0.04936017010335192,0.0,0.0
SOD1,6,0.16253186305153508,-0.02800345557898027,-0.022442646507236902,0.03939706571380672,-0.07748088216907892,0.02251911783092106,0.332
